osm_id,highway,name,name:de,name:it,short_name
299628311,unclassified,Via Eduino Fellin,,,
299628906,residential,Via di Nicodemo,,,
299629398,unclassified,Via dei Bergamini,,,
299630296,unclassified,Via Antonia Pruner,,,
299630297,unclassified,Via Antonia Pruner,,,
299630299,residential,Via Giulio Ciurletti,,,
299631528,tertiary,Via per Villamontagna,,,
299631530,tertiary,Via Imperiale,,,
299632998,service,Via dei consolati,,,
300235197,path,Sentiero Direttissima / sentiero Corno,,,
300431869,unclassified,Via per Chiogna,,,
300457031,residential,Via generale Giacomo Medici,,,
302682333,path,Al centro Educativo Candiai,,,
303244586,residential,"Via Clorinda Menguzzato ""Veglia""",,,
303244587,residential,Piazzale Europa,,,
304385292,unclassified,Via Dosso Dossi,,,
305143392,tertiary,Via alle Nore,,,
305150675,residential,Via Luigi Bonazza,,,
305272357,tertiary,Via Giuseppe Giusti,,,
305272358,tertiary,Via Vittorio Veneto,,,
305524364,tertiary,Via Monte Calisio,,,
305538444,residential,Via Pasubio,,,
305582789,secondary,Via Francesco Petrarca,,,
305677083,tertiary,Via del Commercio,,,
305677084,tertiary,Via del Commercio,,,
305677085,tertiary,Via del Commercio,,,
306097130,residential,Via Vittorio Veneto,,,
306097131,tertiary,Via Vittorio Veneto,,,
306120648,secondary,Corso III Novembre,,,
306120650,secondary,Viale Verona,,,
306120651,secondary,Viale Verona,,,
306203102,tertiary,Via Roberto da Sanseverino,,,
306203531,tertiary,Via Vittorio Veneto,,,
306203532,tertiary,Via Vittorio Veneto,,,
306205725,tertiary,Via Hubert Jedin,,,
306205726,tertiary,Via Hubert Jedin,,,
306205728,tertiary,Via Hubert Jedin,,,
306205730,tertiary,Via Hubert Jedin,,,
